Frequency [Hz],Magnitude,Phase [°]
100000,0.030518509475997192,4212900.0
111111,0.04688452341881945,2742300.0
122222,0.03320935175345377,3871542.8571428573
133333,0.033855841825506994,3797614.285714286
144444,0.03513950383020592,3658885.7142857146
155555,0.03672015569346014,3501385.7142857146
166666,0.04012358062833527,3204385.7142857146
177777,0.04671587405400355,2752200.0000000005
188888,0.04595165885488466,2797971.4285714286
199999,0.04508363013389838,2851842.8571428573
