Frequency [Hz],Magnitude,Phase [°]
100000,0.030518509475997192,4212900.0
111111,0.04689551678859501,2741657.142857143
122222,0.03321486697445777,3870900.0
133333,0.03385125757421888,3798128.5714285714
144444,0.035143208574942894,3658500.0
155555,0.03673229503379371,3500228.5714285714
166666,0.040110705547310575,3205414.285714286
177777,0.04675081813931744,2750142.8571428573
188888,0.04594532506317482,2798357.1428571427
199999,0.04507956543298922,2852100.0000000005
